"","startTime","precipitationIntensity","temperature","weatherCode","location_id"
"1","4 AM",0.77,26.9,"Light Rain","Amityville Elementary School"
"2","5 AM",0.69,26.2,"Light Rain","Amityville Elementary School"
"3","6 AM",0.59,26.8,"Light Rain","Amityville Elementary School"
"4","7 AM",0,27.2,"Cloudy","Amityville Elementary School"
"5","8 AM",2.66,25.8,"Rain","Amityville Elementary School"
"6","9 AM",0.91,25.6,"Light Rain","Amityville Elementary School"
"7","10 AM",0.41,25.7,"Drizzle","Amityville Elementary School"
"8","11 AM",19.14,25.5,"Heavy Rain","Amityville Elementary School"
"9","12 PM",0.78,24.6,"Light Rain","Amityville Elementary School"
"10","1 PM",0.82,24.1,"Light Rain","Amityville Elementary School"
"11","2 PM",0.22,24.2,"Cloudy","Amityville Elementary School"
"12","3 PM",0.05,24.6,"Cloudy","Amityville Elementary School"
"13","4 PM",0,24.9,"Cloudy","Amityville Elementary School"
"14","5 PM",0,25,"Cloudy","Amityville Elementary School"
"15","6 PM",0,25.4,"Cloudy","Amityville Elementary School"
"16","7 PM",0.01,25.4,"Cloudy","Amityville Elementary School"
"17","8 PM",0.03,25.3,"Cloudy","Amityville Elementary School"
"18","9 PM",4.45,24.9,"Rain","Amityville Elementary School"
"19","10 PM",2.16,24.9,"Light Rain","Amityville Elementary School"
"20","4 AM",2.97,25.6,"Rain","Burgos Elementary School Unit I"
"21","5 AM",0.52,25.8,"Light Rain","Burgos Elementary School Unit I"
"22","6 AM",0.38,26.9,"Drizzle","Burgos Elementary School Unit I"
"23","7 AM",64.47,25.5,"Thunderstorm","Burgos Elementary School Unit I"
"24","8 AM",5.77,24.7,"Rain","Burgos Elementary School Unit I"
"25","9 AM",2.48,25,"Light Rain","Burgos Elementary School Unit I"
"26","10 AM",0.66,25,"Light Rain","Burgos Elementary School Unit I"
"27","11 AM",0.09,24.9,"Cloudy","Burgos Elementary School Unit I"
"28","12 PM",0.18,24,"Cloudy","Burgos Elementary School Unit I"
"29","1 PM",0.45,23.7,"Drizzle","Burgos Elementary School Unit I"
"30","2 PM",0.27,23.9,"Drizzle","Burgos Elementary School Unit I"
"31","3 PM",0.05,24.6,"Cloudy","Burgos Elementary School Unit I"
"32","4 PM",0,24.7,"Cloudy","Burgos Elementary School Unit I"
"33","5 PM",0,24.8,"Cloudy","Burgos Elementary School Unit I"
"34","6 PM",0,24.8,"Cloudy","Burgos Elementary School Unit I"
"35","7 PM",0.02,25.1,"Cloudy","Burgos Elementary School Unit I"
"36","8 PM",0.02,24.7,"Light Fog","Burgos Elementary School Unit I"
"37","9 PM",2.96,24.1,"Rain","Burgos Elementary School Unit I"
"38","10 PM",1.53,24.4,"Light Rain","Burgos Elementary School Unit I"
"39","4 AM",0.47,26.1,"Drizzle","Catmon Elementary School"
"40","5 AM",0.95,25.5,"Light Rain","Catmon Elementary School"
"41","6 AM",0.63,26.5,"Light Rain","Catmon Elementary School"
"42","7 AM",0.04,25.5,"Cloudy","Catmon Elementary School"
"43","8 AM",2.87,25.1,"Rain","Catmon Elementary School"
"44","9 AM",2.8,25,"Rain","Catmon Elementary School"
"45","10 AM",0.35,25.1,"Drizzle","Catmon Elementary School"
"46","11 AM",0.43,24.9,"Drizzle","Catmon Elementary School"
"47","12 PM",1.63,24.1,"Light Rain","Catmon Elementary School"
"48","1 PM",1.1,23.6,"Light Rain","Catmon Elementary School"
"49","2 PM",0.2,23.6,"Cloudy","Catmon Elementary School"
"50","3 PM",0.04,24.3,"Cloudy","Catmon Elementary School"
"51","4 PM",0,24.1,"Cloudy","Catmon Elementary School"
"52","5 PM",0,24.5,"Cloudy","Catmon Elementary School"
"53","6 PM",0.01,24.8,"Cloudy","Catmon Elementary School"
"54","7 PM",0.01,25,"Cloudy","Catmon Elementary School"
"55","8 PM",0.02,24.8,"Light Fog","Catmon Elementary School"
"56","9 PM",2.64,24.3,"Rain","Catmon Elementary School"
"57","10 PM",2.41,24.5,"Light Rain","Catmon Elementary School"
"58","4 AM",1.7,26.9,"Light Rain","Eulogio Rodriguez Jr. Elementary School"
"59","5 AM",0.51,26.6,"Light Rain","Eulogio Rodriguez Jr. Elementary School"
"60","6 AM",0.49,27.9,"Drizzle","Eulogio Rodriguez Jr. Elementary School"
